L;SM;EM;IM;SB;EB;IB;RB;DB
100.0;500.0;0.0;50.0;300.0;0.0;0.0;0.0;0.0
126.52667038661242;488.0;0.0;49.0;313.0;4.0;0.0;0.0;1.0
119.94859818255503;475.0;0.0;47.0;321.0;2.0;4.0;0.0;1.0
96.7408938658289;449.0;0.0;42.0;338.0;0.0;3.0;0.0;6.0
75.64757364198633;432.0;0.0;39.0;351.0;3.0;3.0;0.0;6.0
65.8269385839201;419.0;0.0;37.0;365.0;2.0;2.0;1.0;8.0
65.92309941297086;401.0;0.0;36.0;381.0;3.0;3.0;1.0;8.0
75.93053435246706;388.0;0.0;33.0;391.0;2.0;4.0;1.0;8.0
101.55875055627101;379.0;0.0;33.0;406.0;2.0;4.0;2.0;10.0
132.58595993594048;376.0;0.0;33.0;413.0;3.0;3.0;2.0;12.0
132.58871204819218;369.0;0.0;32.0;429.0;2.0;3.0;3.0;14.0
122.40559553428615;358.0;0.0;32.0;433.0;2.0;6.0;3.0;14.0
120.48036413418004;346.0;0.0;32.0;435.0;0.0;5.0;3.0;18.0
114.70273405649216;341.0;0.0;32.0;438.0;1.0;4.0;3.0;19.0
105.05199267489664;330.0;0.0;30.0;439.0;3.0;5.0;3.0;19.0
94.27738734674008;320.0;0.0;28.0;437.0;3.0;5.0;4.0;21.0
95.67453301022977;308.0;0.0;27.0;437.0;4.0;3.0;4.0;24.0
124.64120909892574;300.0;0.0;27.0;438.0;1.0;2.0;5.0;27.0
177.28066374720032;302.0;0.0;26.0;434.0;3.0;4.0;5.0;27.0
237.95894793135102;299.0;0.0;26.0;425.0;7.0;8.0;6.0;28.0
274.8294802430782;303.0;0.0;25.0;423.0;5.0;11.0;8.0;29.0
273.0797486515963;303.0;0.0;24.0;420.0;5.0;10.0;8.0;34.0
260.7481626019309;298.0;0.0;23.0;418.0;2.0;10.0;8.0;39.0
275.71079024036106;298.0;0.0;23.0;414.0;3.0;9.0;10.0;41.0
280.62738636642433;295.0;0.0;22.0;411.0;2.0;9.0;10.0;45.0
281.3109486209871;298.0;0.0;21.0;409.0;3.0;9.0;11.0;47.0
312.1725008374314;297.0;0.0;21.0;408.0;2.0;7.0;13.0;49.0
329.3798846255613;297.0;0.0;21.0;408.0;1.0;6.0;13.0;51.0
308.52661014527604;300.0;0.0;21.0;406.0;1.0;5.0;13.0;54.0
299.5994057152598;299.0;0.0;21.0;404.0;1.0;4.0;14.0;56.0
324.0535793127324;301.0;0.0;20.0;402.0;3.0;2.0;14.0;58.0
365.8826532656602;312.0;1.0;19.0;400.0;1.0;4.0;14.0;60.0
422.7982365171835;321.0;1.0;19.0;399.0;2.0;2.0;14.0;62.0
474.4898848309085;340.0;1.0;19.0;396.0;2.0;5.0;14.0;62.0
524.4315813737331;352.0;1.0;18.0;392.0;4.0;6.0;15.0;62.0
569.0070575133581;371.0;1.0;18.0;386.0;4.0;8.0;16.0;65.0
604.0735331070848;394.0;1.0;18.0;383.0;1.0;12.0;16.0;67.0
632.7482070790168;408.0;1.0;17.0;378.0;4.0;8.0;16.0;73.0
645.9440875447377;421.0;1.0;16.0;375.0;4.0;9.0;17.0;74.0
658.7078783123375;432.0;1.0;16.0;372.0;4.0;9.0;17.0;77.0
697.5529414686223;449.0;1.0;16.0;371.0;2.0;8.0;20.0;78.0
744.2480959901604;473.0;1.0;16.0;365.0;7.0;9.0;20.0;78.0
778.8242755216484;490.0;1.0;16.0;363.0;2.0;10.0;24.0;80.0
803.1198130686382;514.0;1.0;16.0;362.0;2.0;8.0;25.0;82.0
848.1198853917786;535.0;1.0;15.0;356.0;3.0;9.0;26.0;85.0
899.3145671878445;564.0;1.0;16.0;354.0;2.0;10.0;26.0;87.0
929.3986320356032;599.0;1.0;16.0;350.0;2.0;8.0;26.0;93.0
961.796932175098;627.0;2.0;16.0;347.0;3.0;9.0;26.0;94.0
1028.2710663847365;648.0;4.0;17.0;345.0;2.0;10.0;26.0;96.0
1080.1953393278109;688.0;5.0;17.0;339.0;4.0;12.0;26.0;98.0
1132.81952451744;740.0;5.0;17.0;337.0;3.0;9.0;28.0;102.0
1176.338266153406;770.0;5.0;16.0;331.0;6.0;4.0;30.0;108.0
1225.114621310016;803.0;5.0;16.0;328.0;6.0;6.0;31.0;108.0
1297.6950500996281;834.0;4.0;17.0;325.0;6.0;7.0;31.0;110.0
1373.3360846486582;878.0;4.0;17.0;321.0;4.0;10.0;32.0;112.0
1427.964126694016;939.0;3.0;16.0;318.0;6.0;9.0;32.0;114.0
1467.9847434851363;971.0;3.0;16.0;317.0;2.0;10.0;33.0;117.0
1535.6761924204025;1021.0;3.0;16.0;315.0;3.0;6.0;35.0;120.0
1562.525192526071;1063.0;3.0;15.0;314.0;1.0;5.0;36.0;123.0
1652.3427975888292;1087.0;4.0;15.0;313.0;0.0;4.0;36.0;126.0
1709.5112907786277;1147.0;3.0;16.0;307.0;6.0;4.0;36.0;126.0
1784.533171318168;1206.0;3.0;16.0;303.0;7.0;5.0;37.0;127.0
1851.5280376973349;1239.0;3.0;15.0;300.0;3.0;10.0;37.0;129.0
1805.6075015726549;1275.0;3.0;15.0;299.0;1.0;6.0;38.0;135.0
1768.1916855189602;1290.0;4.0;15.0;295.0;4.0;5.0;38.0;137.0
1813.2295882237308;1323.0;3.0;16.0;293.0;5.0;4.0;38.0;139.0
1892.2256344189143;1353.0;3.0;16.0;290.0;5.0;4.0;39.0;141.0
1891.6471800178224;1366.0;3.0;16.0;287.0;3.0;7.0;39.0;143.0
1793.2378073860305;1374.0;3.0;16.0;286.0;1.0;6.0;40.0;146.0
1679.1715548364182;1387.0;3.0;15.0;285.0;2.0;3.0;42.0;147.0
1623.4067577584897;1388.0;3.0;15.0;285.0;1.0;4.0;42.0;147.0
1683.6330168383577;1402.0;3.0;15.0;282.0;2.0;4.0;42.0;149.0
1773.062523789661;1442.0;3.0;14.0;280.0;1.0;5.0;43.0;150.0
1836.023936103662;1478.0;3.0;14.0;280.0;0.0;6.0;43.0;150.0
1848.25898990162;1502.0;4.0;14.0;278.0;0.0;5.0;43.0;153.0
1815.766390236364;1515.0;4.0;13.0;277.0;1.0;3.0;44.0;154.0
1790.9362321976741;1527.0;4.0;12.0;277.0;0.0;3.0;44.0;155.0
1817.4042803037094;1560.0;4.0;11.0;277.0;0.0;1.0;45.0;156.0
1948.5555248048136;1592.0;4.0;11.0;276.0;1.0;1.0;45.0;156.0
2109.904718717673;1631.0;4.0;11.0;274.0;2.0;0.0;45.0;158.0
2266.3444088811016;1686.0;4.0;11.0;271.0;3.0;2.0;45.0;158.0
2427.037212729251;1748.0;4.0;11.0;270.0;4.0;1.0;45.0;159.0
2553.9187398865947;1823.0;3.0;11.0;266.0;3.0;5.0;44.0;161.0
2676.789356824644;1932.0;2.0;12.0;264.0;2.0;4.0;44.0;165.0
2769.321725995374;2047.0;2.0;12.0;262.0;2.0;3.0;45.0;167.0
2827.222659570021;2141.0;2.0;12.0;259.0;4.0;3.0;45.0;168.0
2940.1492351737948;2228.0;2.0;12.0;253.0;6.0;5.0;46.0;169.0
3106.2878233928504;2309.0;2.0;12.0;251.0;2.0;9.0;46.0;171.0
3255.3260671984626;2418.0;3.0;12.0;250.0;1.0;7.0;47.0;174.0
3414.7568939977873;2529.0;4.0;12.0;247.0;3.0;3.0;50.0;176.0
3571.9867834397705;2648.0;4.0;12.0;245.0;1.0;7.0;50.0;176.0
3713.3288142214888;2755.0;4.0;11.0;245.0;0.0;5.0;52.0;177.0
3833.1623192879406;2845.0;3.0;11.0;243.0;2.0;4.0;52.0;178.0
3944.6636287729434;2947.0;3.0;11.0;243.0;2.0;1.0;53.0;180.0
4035.4985540279063;3056.0;3.0;11.0;242.0;3.0;1.0;53.0;180.0
4129.718961015597;3110.0;3.0;11.0;242.0;0.0;3.0;53.0;181.0
4201.6355462114;3224.0;3.0;10.0;241.0;1.0;2.0;53.0;182.0
4345.723672507154;3315.0;3.0;10.0;240.0;2.0;1.0;54.0;182.0
4483.091877190284;3401.0;2.0;10.0;240.0;1.0;1.0;54.0;183.0
4576.642722765989;3525.0;2.0;10.0;240.0;0.0;0.0;54.0;185.0
4685.159784731604;3659.0;1.0;10.0;239.0;1.0;0.0;54.0;185.0
4793.519500922892;3830.0;1.0;10.0;237.0;2.0;1.0;54.0;185.0
4907.887880899008;3983.0;1.0;10.0;237.0;1.0;2.0;54.0;185.0
5031.392124880144;4088.0;1.0;11.0;235.0;1.0;3.0;54.0;186.0
5059.267051204818;4172.0;1.0;10.0;234.0;2.0;1.0;54.0;188.0
5015.466683917076;4244.0;1.0;10.0;234.0;0.0;1.0;56.0;188.0
4975.938810166889;4301.0;1.0;10.0;233.0;0.0;1.0;56.0;189.0
4951.7685170691875;4409.0;1.0;10.0;232.0;1.0;1.0;56.0;189.0
5005.823484593841;4528.0;1.0;10.0;228.0;5.0;1.0;56.0;189.0
5097.382841641203;4656.0;1.0;10.0;227.0;1.0;4.0;57.0;190.0
5144.121450772243;4762.0;2.0;10.0;226.0;2.0;3.0;57.0;191.0
5175.603343139241;4864.0;2.0;10.0;226.0;1.0;1.0;57.0;194.0
5186.529148066221;4945.0;2.0;10.0;225.0;1.0;2.0;57.0;194.0
5184.171189654762;5038.0;2.0;11.0;224.0;1.0;2.0;57.0;195.0
5236.4806064279965;5155.0;2.0;11.0;224.0;1.0;2.0;57.0;195.0
5303.573726342058;5302.0;1.0;11.0;222.0;3.0;0.0;57.0;197.0
5358.137816523501;5466.0;1.0;12.0;221.0;2.0;2.0;57.0;197.0
5359.493481843024;5628.0;2.0;12.0;221.0;1.0;3.0;57.0;197.0
5389.43707809001;5763.0;3.0;11.0;217.0;3.0;3.0;59.0;197.0
5392.506457825716;5916.0;2.0;13.0;215.0;3.0;2.0;60.0;199.0
5414.953515699452;6044.0;3.0;13.0;214.0;1.0;5.0;60.0;199.0
5388.680872888753;6205.0;2.0;14.0;213.0;1.0;3.0;60.0;202.0
5345.666597449688;6351.0;2.0;13.0;213.0;1.0;2.0;60.0;203.0
5309.763072108573;6478.0;3.0;13.0;213.0;0.0;3.0;60.0;203.0
5245.409229673952;6508.0;4.0;13.0;213.0;0.0;3.0;60.0;203.0
5052.725008131688;6500.0;4.0;13.0;213.0;0.0;1.0;60.0;205.0
4929.293656123332;6553.0;4.0;12.0;211.0;1.0;0.0;60.0;207.0
4816.81255511511;6592.0;3.0;11.0;211.0;1.0;0.0;60.0;207.0
4576.582843393826;6601.0;3.0;11.0;210.0;1.0;0.0;60.0;208.0
4295.58876931576;6561.0;3.0;11.0;210.0;1.0;0.0;59.0;209.0
4041.2951746748986;6535.0;2.0;11.0;210.0;0.0;1.0;59.0;209.0
3762.863159996261;6481.0;2.0;11.0;210.0;0.0;1.0;59.0;209.0
3465.5026940393673;6390.0;2.0;11.0;210.0;0.0;1.0;59.0;209.0
3275.6729256363988;6317.0;2.0;11.0;210.0;0.0;1.0;59.0;209.0
3156.7747108195035;6326.0;2.0;11.0;209.0;1.0;0.0;59.0;210.0
3057.3614832125786;6326.0;2.0;11.0;209.0;0.0;0.0;59.0;211.0
2837.901872151901;6289.0;2.0;11.0;209.0;0.0;0.0;59.0;211.0
2621.0196930343063;6253.0;2.0;11.0;209.0;0.0;0.0;59.0;211.0
2411.4493564797417;6191.0;2.0;11.0;208.0;0.0;1.0;59.0;211.0
2099.1932394543337;6071.0;2.0;10.0;206.0;0.0;0.0;59.0;214.0
1757.562837912692;5938.0;2.0;10.0;205.0;0.0;0.0;59.0;215.0
1438.5450496813096;5781.0;2.0;10.0;205.0;0.0;0.0;59.0;215.0
1170.2661130093657;5651.0;2.0;10.0;205.0;0.0;0.0;59.0;215.0
1001.3644910823873;5549.0;2.0;10.0;205.0;0.0;0.0;59.0;215.0
917.3020207821711;5478.0;2.0;10.0;205.0;0.0;0.0;59.0;215.0
852.5490008806129;5410.0;2.0;10.0;205.0;0.0;0.0;59.0;215.0
806.8011715526167;5327.0;2.0;10.0;205.0;0.0;0.0;59.0;215.0
754.0974365075607;5262.0;1.0;10.0;205.0;0.0;0.0;59.0;215.0
701.3627093696706;5172.0;1.0;9.0;205.0;0.0;0.0;59.0;215.0
651.8083014892118;5121.0;1.0;9.0;205.0;0.0;0.0;59.0;215.0
600.894198384479;5040.0;1.0;9.0;205.0;0.0;0.0;59.0;215.0
551.8973826981933;4977.0;1.0;9.0;205.0;0.0;0.0;59.0;215.0
500.67922731947414;4912.0;1.0;8.0;204.0;0.0;0.0;59.0;216.0
450.3273212536689;4830.0;1.0;8.0;204.0;0.0;0.0;59.0;216.0
374.3303334577667;4727.0;1.0;8.0;204.0;0.0;0.0;59.0;216.0
290.1269883970553;4599.0;1.0;7.0;204.0;0.0;0.0;59.0;216.0
222.45731678650813;4471.0;1.0;7.0;204.0;0.0;0.0;59.0;216.0
161.58950946549638;4283.0;1.0;7.0;204.0;0.0;0.0;59.0;216.0
106.60059921529084;4089.0;1.0;7.0;204.0;0.0;0.0;59.0;216.0
64.48341337437485;3859.0;1.0;6.0;204.0;0.0;0.0;59.0;216.0
48.80935584813687;3717.0;1.0;6.0;204.0;0.0;0.0;59.0;216.0
45.14469211167304;3624.0;1.0;5.0;204.0;0.0;0.0;59.0;216.0
39.93418504351426;3529.0;1.0;5.0;204.0;0.0;0.0;59.0;216.0
36.93380050476874;3438.0;1.0;5.0;204.0;0.0;0.0;59.0;216.0
38.724417036636254;3376.0;1.0;5.0;204.0;0.0;0.0;59.0;216.0
43.51334901701371;3325.0;1.0;5.0;204.0;0.0;0.0;59.0;216.0
48.38271297844746;3288.0;1.0;5.0;204.0;0.0;0.0;59.0;216.0
48.88850157948403;3238.0;1.0;5.0;204.0;0.0;0.0;59.0;216.0
46.023542598368884;3181.0;0.0;5.0;204.0;0.0;0.0;59.0;216.0
41.17584633622614;3124.0;0.0;5.0;204.0;0.0;0.0;59.0;216.0
37.59727541373434;3056.0;0.0;5.0;204.0;0.0;0.0;59.0;216.0
32.92971068801918;2995.0;0.0;4.0;204.0;0.0;0.0;59.0;216.0
29.204508501378758;2936.0;0.0;4.0;204.0;0.0;0.0;59.0;216.0
25.887559308932858;2882.0;0.0;4.0;204.0;0.0;0.0;59.0;216.0
23.403840634406123;2813.0;0.0;4.0;204.0;0.0;0.0;59.0;216.0
20.228685723757728;2743.0;0.0;4.0;203.0;0.0;0.0;59.0;217.0
16.900841050833012;2677.0;0.0;4.0;203.0;0.0;0.0;59.0;217.0
14.723833951325583;2612.0;0.0;4.0;202.0;0.0;0.0;59.0;218.0
12.928439851647328;2562.0;0.0;4.0;202.0;0.0;0.0;59.0;218.0
11.445688734373828;2505.0;0.0;4.0;202.0;0.0;0.0;59.0;218.0
8.627485434742386;2408.0;0.0;4.0;202.0;0.0;0.0;59.0;218.0
4.601818351591928;2293.0;0.0;4.0;201.0;0.0;0.0;59.0;219.0
2.4563970544585163;2160.0;0.0;4.0;201.0;0.0;0.0;59.0;219.0
1.093714229830531;1979.0;0.0;3.0;201.0;0.0;0.0;59.0;219.0
0.5155593712475846;1808.0;0.0;3.0;201.0;0.0;0.0;59.0;219.0
0.48003678305633574;1731.0;0.0;3.0;201.0;0.0;0.0;59.0;219.0
0.6580938326656572;1691.0;0.0;3.0;201.0;0.0;0.0;59.0;219.0
0.7476538871214663;1641.0;0.0;3.0;201.0;0.0;0.0;59.0;219.0
0.7144590154592;1586.0;0.0;3.0;201.0;0.0;0.0;59.0;219.0
0.5872522824683635;1532.0;0.0;2.0;200.0;0.0;0.0;59.0;220.0
0.47756525170402375;1462.0;0.0;2.0;200.0;0.0;0.0;59.0;220.0
0.3705033959285597;1395.0;0.0;2.0;200.0;0.0;0.0;59.0;220.0
0.2674236123437771;1330.0;0.0;2.0;200.0;0.0;0.0;59.0;220.0
0.17341546761509938;1252.0;0.0;2.0;200.0;0.0;0.0;59.0;220.0
0.0965670027805663;1148.0;0.0;2.0;200.0;0.0;0.0;59.0;220.0
0.06325598506524296;1067.0;0.0;2.0;200.0;0.0;0.0;59.0;220.0
0.049969099650619554;993.0;0.0;2.0;200.0;0.0;0.0;59.0;220.0
0.040726792283553;930.0;0.0;1.0;200.0;0.0;0.0;59.0;220.0
0.036787120197257876;883.0;0.0;1.0;200.0;0.0;0.0;59.0;220.0
0.03273065982133975;832.0;0.0;1.0;200.0;0.0;0.0;59.0;220.0
0.02435782907646525;767.0;0.0;1.0;200.0;0.0;0.0;59.0;220.0
